sample_id,patient_id,cancer_type,TP53,VEGFA,HIF1A,ANGPT2,FLT1
TCGA-44-8117-01A-11R-2241-07,TCGA-44-8117,LUAD,3.533095441703625,9.70129125873869,6.736847500396466,3.0301112712950964,4.151444137560152
TCGA-50-5936-01A-11R-1628-07,TCGA-50-5936,LUAD,5.960825275363012,6.493069881669978,6.753302535331993,3.5824956353936033,4.130101640514282
TCGA-55-A494-01A-11R-A24X-07,TCGA-55-A494,LUAD,6.236895591628318,9.863875977056518,5.849347613598034,4.003856858262967,4.178755180858624
TCGA-78-7160-01A-11R-2039-07,TCGA-78-7160,LUAD,6.803066181396858,6.842713047617125,7.12064227906633,2.7535981841012536,4.723887359634552
TCGA-78-7158-01A-11R-2039-07,TCGA-78-7158,LUAD,7.446951982503453,6.778299456357722,6.417706289749546,1.3611579541607275,2.3846346679164605
TCGA-78-7149-01A-11R-2039-07,TCGA-78-7149,LUAD,6.262349324451718,7.411145646101879,4.457443677948253,5.2157753197364265,5.3995605157056294
TCGA-64-5775-01A-01R-1628-07,TCGA-64-5775,LUAD,5.996577184373242,6.9013182083335565,7.800757394299656,2.713213753183266,3.3622773391064196
TCGA-78-7147-01A-11R-2039-07,TCGA-78-7147,LUAD,3.961270398553672,7.351331485143017,6.181063680144781,2.1388441027231657,2.1570105556959316
TCGA-44-6777-01A-11R-1858-07,TCGA-44-6777,LUAD,5.62294398300638,7.8654527107207395,6.5380243064212955,5.234407032266062,5.518362115055379
TCGA-49-4490-01A-21R-1858-07,TCGA-49-4490,LUAD,4.294545545522901,6.867551374850313,5.015052295170702,2.7337370011168813,3.294777645370421
TCGA-NJ-A4YF-01A-12R-A262-07,TCGA-NJ-A4YF,LUAD,3.4441054159941817,9.509205328637597,6.114363564423444,3.343652610513656,4.06716052603106
TCGA-44-5643-01A-01R-1628-07,TCGA-44-5643,LUAD,6.351833872739049,6.312540504403831,7.061992813239337,2.3933750882714326,2.7422783940086406
TCGA-86-8674-01A-21R-2403-07,TCGA-86-8674,LUAD,6.2192023801838525,7.80624351838904,5.498129985262229,2.0022599889821677,3.037412341253411
TCGA-99-8033-01A-11R-2241-07,TCGA-99-8033,LUAD,3.662587625170571,8.118627631049655,6.4896926838841305,3.0044778744194076,3.982941091987253
TCGA-91-8497-01A-11R-2403-07,TCGA-91-8497,LUAD,5.886263877510716,6.213219658279888,5.9551920859775205,2.2964054666063825,3.918525533828302
TCGA-86-7711-01A-11R-2066-07,TCGA-86-7711,LUAD,5.391454645184311,7.404285515297297,7.211338904499357,3.3786543378084053,4.359383497482042
TCGA-55-7724-01A-11R-2170-07,TCGA-55-7724,LUAD,6.040506174441556,5.895937808010052,7.632344598087858,4.75018702390567,4.499073740170826
TCGA-67-3774-01A-01R-0946-07,TCGA-67-3774,LUAD,5.971429675320027,6.726708055262158,6.270177176379947,1.331928704572206,3.2731063075176734
TCGA-67-3773-01A-01R-0946-07,TCGA-67-3773,LUAD,4.633272786608129,7.706919181488203,5.0710980610792165,2.7922152387623136,2.5029148232557694
TCGA-50-8460-01A-11R-2326-07,TCGA-50-8460,LUAD,5.905685553041433,5.762197433536745,6.715310992922915,1.814914878602148,3.1927441821588833
TCGA-44-6146-01A-11R-1755-07,TCGA-44-6146,LUAD,5.942509184142575,6.8640096472171805,5.349059098920617,1.4608064574458408,3.5794070179834407
TCGA-86-8280-01A-11R-2287-07,TCGA-86-8280,LUAD,6.049227760239496,6.863898482260699,5.885588840610058,2.9033371884671215,3.683256685793358
TCGA-55-8615-01A-11R-2403-07,TCGA-55-8615,LUAD,5.979646662431117,8.341055879026054,5.158603209560436,3.5098077780783243,3.6035894684092455
TCGA-50-5930-01A-11R-1755-07,TCGA-50-5930,LUAD,5.9301947271851905,6.577590551974202,6.217498734052801,3.1666921608883474,3.8583203265348938
TCGA-44-2662-01A-01R-A278-07,TCGA-44-2662,LUAD,4.69486886731684,8.874543367454859,7.800305051087572,3.447908813471744,4.721815829663189
TCGA-62-A46V-01A-11R-A24H-07,TCGA-62-A46V,LUAD,5.648639634924899,7.960197325551697,7.417106761945677,2.7451647874460483,3.1609228660762727
TCGA-55-7281-01A-11R-2039-07,TCGA-55-7281,LUAD,5.7980048131183795,7.313407034990917,5.152882093374796,2.088839778340574,2.9542471508987593
TCGA-44-5644-01A-21R-2039-07,TCGA-44-5644,LUAD,6.1298588888049705,8.504876725417923,4.970199831592794,3.8236438448078136,4.099544454703879
TCGA-MN-A4N5-01A-11R-A24X-07,TCGA-MN-A4N5,LUAD,4.3172096315859765,9.73563053541016,7.086681530432084,3.1499406674719954,4.008728853621682
TCGA-78-7145-01A-11R-2039-07,TCGA-78-7145,LUAD,5.8666987212077055,8.58038592493035,6.808662620140136,3.608418480641909,4.798758963552706
TCGA-05-5420-01A-01R-1628-07,TCGA-05-5420,LUAD,4.465721550676107,4.982001193102818,5.575096826298184,1.5050284783082313,1.6060949966663756
TCGA-55-7911-01A-11R-2170-07,TCGA-55-7911,LUAD,5.538771547846456,7.955614683000881,7.965960264118859,2.4956064040796324,3.8605734813444417
TCGA-44-7661-01A-11R-2066-07,TCGA-44-7661,LUAD,4.818245731256589,8.078884908516217,7.571106676975625,4.608278459984659,4.7769539069866935
TCGA-97-7941-01A-11R-2187-07,TCGA-97-7941,LUAD,5.98625190609969,6.595723671591239,5.079830485913009,1.5345871686535577,3.533279802168087
TCGA-97-7554-01A-11R-2039-07,TCGA-97-7554,LUAD,6.47414205234358,7.753650127088337,6.896377603247993,2.9289038366438,4.43337637521296
TCGA-55-7815-01A-11R-2170-07,TCGA-55-7815,LUAD,5.9270153849857445,6.7385883547148575,8.881773780392466,3.665977489272533,5.079066198576115
TCGA-55-6985-01A-11R-1949-07,TCGA-55-6985,LUAD,6.047947320666998,7.137302368654413,6.530112216819791,2.155958804232865,3.742805908696083
TCGA-91-7771-01A-11R-2170-07,TCGA-91-7771,LUAD,6.1219704628565985,7.323520885665605,6.823790334198458,2.529541477719128,4.188960487522458
TCGA-69-7764-01A-11R-2170-07,TCGA-69-7764,LUAD,5.849388339567515,8.332419968973621,6.155320408441693,2.6167298508801276,3.6447280481065
TCGA-55-8092-01A-11R-2241-07,TCGA-55-8092,LUAD,5.5470807307535805,7.115597588707362,6.411071997084906,3.620009806032507,4.001710906175349
TCGA-62-A46O-01A-11R-A24H-07,TCGA-62-A46O,LUAD,4.09353747237733,6.545081952436769,5.851566153921542,2.4139489345757656,3.2627164706737255
